,datetime,shape,duration (seconds),comments,latitude,longitude ,date,time
26351,2/14/1990 19:30,triangle,1800,Three bright lights in a huge triangle shaped pattern over I-80 moving to the East from Iowa into Illinois,41.5236111,-90.5775,1990,19:30
64161,8/10/1990 21:30,triangle,1800,In moonless but bright star country sky&#44 Dark Triangular shape follows family  in car.,29.6341667,-83.1252778,1990,21:30
42392,5/15/1990 13:35,circle,10,What is that mirror like ball in the sky?,40.7988889,-81.3786111,1990,13:35
52869,6/30/1990 24:00,circle,5,It was just siting there when i turned bak after 5 seconds it was gone,34.9530556,-120.4347222,1990,24:00
52867,6/30/1990 20:30,triangle,600,PHOENIX LIGHT OVER SCOTTSDALE IN 1991,33.5091667,-111.8983333,1990,20:30
48971,6/15/1990 24:00,circle,300,Three circle shape things?  in the shape of a rianle then they would circle and disappear,34.7047222,-85.2819444,1990,24:00
28919,2/28/1990 22:00,disk,1800,((HOAX??  Date is illogical))  Disc-shaped object witnessed.,33.4269444,-117.6111111,1990,22:00
36575,4/14/1990 06:30,circle,900,I AM FOURTY SEVEN&#44 BUT WAS IN MY MID THIRTIES AT THE TIME MY GIRLFRIEND AND MYSELF GOT UP EARLY ONE SPRING MORNING TO ENJOY THE NEW DAY,39.7683333,-86.1580556,1990,06:30
69184,8/24/1990 20:00,triangle,7200.0,8/24/1990 cherry valley&#44il. triangle observed for approx. 15min. then next thing sitting in car parked on side of road  missing 2hrs.,42.2347222,-88.9488889,1990,20:00
50304,6/20/1990 01:00,triangle,20,blazed along tree line then dissapeared.,47.5675000,-122.6313889,1990,01:00
66367,8/15/1990 03:00,triangle,5.0,Incredible flying triangle of immense proportions with unbelievable speed and eerie stealth&#33,33.7825,-117.2277778,1990,03:00
39292,4/27/1990 07:20,disk,5,Silver disc flies over mountain in New Mexico dawn April 27&#44 1990 seen by car driver.,34.1450000,-107.8430556,1990,07:20
2493,10/17/1990 01:30,triangle,600,A silent triangle close enough to hit with a thrown object,29.4747222,-81.1272222,1990,01:30
76030,9/20/1990 01:30,triangle,3600.0,lighted object with a strange motion.  May have been livestock involvment.,37.9444444,-87.4052778,1990,01:30
73396,9/1/1990 21:00,triangle,600.0,At the time I was about thirteen years old&#44 but I remember it well. We lived near  big apple orchard  and had just finished picking a b,42.4133333,-89.0091667,1990,21:00
74657,9/15/1990 21:00,triangle,600.0,The object seemed to be triangular in shape due to the setting of approx.7-8 red lights.It seemed to be larger than a football field&#44 n,41.4552778,-74.2630556,1990,21:00
48,10/10/1990 21:00,triangle,120,Translucent Craft that makes No Sound While Moving,31.7058333,-83.6533333,1990,21:00
48969,6/15/1990 20:00,triangle,1800,Triangles over the Golf Course,31.7586111,-106.4863889,1990,20:00
79675,9/7/1990 22:00,triangle,60.0,Evening sighting of UFO at two different locations.,39.1580556,-75.5247222,1990,22:00
74658,9/15/1990 21:00,disk,60.0,The huvering silent crafts lighs moved and focused on us befor it crossed the road and shot away in the night.,42.7130556,-85.4619444,1990,21:00
65249,8/12/1990 23:30,triangle,120,It was a very clear night&#44 so I went to do as I always do and climbed onto the roof of my carport to look at the stars with binoculars&#44,27.8002778,-97.3961111,1990,23:30
64898,8/1/1990 12:00,disk,60,while friend and I was going to sizzler to lunch something&#44 near Hill AirForce Base caught my attention&#44 something was going straight u,41.1108333,-112.0252778,1990,12:00
28482,2/25/1990 22:45,triangle,300,Siting of a triangular shaped UFO.,29.9972222,-98.0983333,1990,22:45
56760,7/15/1990 20:00,disk,120,Fully visible  flying saucer,39.7286111,-121.8363889,1990,20:00
73395,9/1/1990 21:00,triangle,120.0,I stood directly under a gigantic spacecraft no more than a couple hundred feet above my neighborhood.,36.8347222,-81.515,1990,21:00
73394,9/1/1990 06:30,circle,900.0,AS I WAS SITTING IN MY CAR WAITING FOR MY COWORKERS TO ARRIVE AT OUR CONSTRUCTION SITE&#44 I NOTICED A LIGHT IN THE DISTANCE THAT SEEM TO,39.1580556,-75.5247222,1990,06:30
5213,10/29/1990 07:00,disk,180,My freind and I seen a circular craft land.  It was there for at least a minute.  When it took off again&#44 it made a loud howling noise.,36.0583333,-90.4972222,1990,07:00
5655,10/31/1990 18:30,disk,60,I saw a saucer shaped&#44 somewhat transparent object moving through the air very slowly about 200 feet from my house for about 1 minute.,38.7366667,-76.5897222,1990,18:30
2692,10/18/1990 01:00,disk,14400,1000&#39s of neon  colored U.F.O.&#39s/Saucers in Sky at once.,35.3338889,-81.8652778,1990,01:00
66368,8/15/1990 21:30,triangle,360.0,Large triangular black craft with tiered colored party type lights&#44 Motionless&#44 noiseless over Lake Benbrook&#44 Texas.,32.6730556,-97.4602778,1990,21:30
9352,11/15/1990 03:00,triangle,600,Cousin and Boyfriend on the way home from work early in the morning saw a triangular craft that totally scared them both as it was just,33.0150000,-96.5386111,1990,03:00
21838,1/23/1990 20:00,triangle,60,The huge&#44 silent craft seemed not use aerodynamics like planes; too huge&#44 too slow to remain aloft.,37.5536111,-77.4605556,1990,20:00
47488,6/1/1990 22:00,disk,600,already did this&#44 forgot witness form,33.8702778,-117.9244444,1990,22:00
14308,1/14/1990 20:00,circle,30,I could feel vibrations from this bright circular light hovering above us&#33,37.3869444,-120.7225,1990,20:00
60524,7/29/1990 23:00,circle,60,It was looking at me&#44 stainless steel with equal rows of jets spaced in rows and at the end it changed colors,42.9177778,-90.2733333,1990,23:00
47487,6/1/1990 22:00,circle,300,test aircraft or ufo?,33.8702778,-117.9244444,1990,22:00
24823,1/6/1990 22:00,disk,1200,I was flying a Pan American A-300B4 (Airbus) from New York to Mexico City.  Our route took us directly over Biloxi&#44 Mississippi and the,29.9544444,-90.075,1990,22:00
44221,5/25/1990 10:00,circle,30,Sitting on bench at golf course&#44 looking up I saw round dark grey object not moving in the sky at cloud level. 4 times I looked down th,41.7205556,-74.6347222,1990,10:00
45454,5/4/1990 12:20,disk,10,i was surfing&#44 with another guy&#44 at County Line (across from Neptune&#39s Net)&#44 when it came out of the fog bank just offshore.,34.0050000,-118.8091667,1990,12:20
53808,6/6/1990 22:00,disk,600,Multi colored lights attached to saucer shaped craft at night,37.8455556,-83.8583333,1990,22:00
47486,6/1/1990 21:00,triangle,1200,Triangle shaped with lights moving slowly&#44 no sound,45.5947222,-121.1775,1990,21:00
31503,3/15/1990 22:00,disk,1800,It blacked out a large part of stars in sky...Huge&#33--black--silent--low flying--slowly over downtown--almost covered downtown(some 10-1,35.5952778,-77.5855556,1990,22:00
48965,6/15/1990 02:00,circle,300,CIRCLE OF APPROXIMATELY TEN LIGHTS SIGHTED HOVERING OVER  PERU&#44 INDIANA.,40.7536111,-86.0688889,1990,02:00
51857,6/26/1990 01:00,circle,120,It was at  tree top level and it was not a plane.  It was to low and i could tell it was round.,41.0580556,-74.7530556,1990,01:00
26591,2/15/1990 20:17,triangle,240,An object stops dead in it&#39s track&#33,42.0833333,-71.0188889,1990,20:17
47479,6/1/1990 12:00,disk,30,White disc makes sharp turns and then shoots up as fast as lightning.,39.7788889,-75.5986111,1990,12:00
47480,6/1/1990 12:00,disk,30,UFO in contact with commerical airliner,47.0980556,-122.2030556,1990,12:00
13752,11/30/1990 19:00,disk,600,On way to work&#44 parked car and upon exiting car observed a u.f.0. hovering at the far end of the parking lot ( no noise ).,40.2125000,-78.9291667,1990,19:00
62786,7/5/1990 17:00,disk,180,Alien Tests Soil.,41.8852778,-86.5894444,1990,17:00
56755,7/15/1990 04:30,disk,1800,While sitting on the top of a mountain something disk? rose from a group of trees&#44flew up straight ubove me&#44stopped&#44changed direction a,40.7608333,-111.8902778,1990,04:30
57734,7/18/1990 22:00,disk,600,At a stadium concert&#44 I and others saw a disk silently hover directly overhead&#44 and then accelerate away at great speed.,42.0347222,-93.6197222,1990,22:00
47476,6/1/1990 07:00,disk,60,i was ouside in the street walking to my car when the ground lighted up all around my i looked up and seen a ufo i could see it was sau,39.4272222,-75.2344444,1990,07:00
14688,1/15/1990 18:30,disk,900,Saucer shaped object with three layers&#44 very close encounter&#44 several witnesses&#44 most memorable event in my life.,40.5675000,-88.2477778,1990,18:30
55910,7/13/1990 22:00,triangle,120,Tringular object hovering silouhetted against bright starlit night. Country road where absolute dark was at the time (norm) 2 mile dirt,41.3358333,-71.9063889,1990,22:00
55304,7/1/1990 22:00,triangle,600,Triangular dark shape hovering above closed ammunition plant in Southern Indiana.,38.2775000,-85.7372222,1990,22:00
55298,7/1/1990 05:30,triangle,1800,LIndenhurst&#44 Long Island New York -- Triangular Craft,40.6866667,-73.3738889,1990,05:30
55296,7/1/1990 00:30,triangle,240,Triangle Craft Shaver Lake Ca.  Moved very slowly away from us but then shinned very bright light at us&#33,37.1041667,-119.3166667,1990,00:30
14686,1/15/1990 01:00,disk,900,Close encounter on the highway with a hovering craft / bright lights (white&#44 red and orange).,42.7341667,-90.4783333,1990,01:00
14687,1/15/1990 12:30,triangle,60,Hovering Black Triangle,34.9491667,-83.7575,1990,12:30
7640,11/10/1991 22:15,triangle,300,Triangular-shaped object hovers 30 to40 feet above car for five minutes.,37.6455556,-91.5358333,1991,22:15
52871,6/30/1991 00:00,triangle,1500,1991 - Bedford&#44 Pa-Triangular-3 Red Lights-Ship rotated to it&#39s side-20-25 minutes,40.0186111,-78.5041667,1991,00:00
57982,7/19/1991 21:30,triangle,60,dark triangular craft&#44 white lights on corners&#44 red light center underneath followed by a smaller&#44 disk shaped craft&#44 white lights arou,36.8527778,-75.9783333,1991,21:30
41163,5/10/1991 02:00,disk,600,Saucer lights up farmhouse&#44 tree&#44 and puts on a light show for two unsuspected teenagers.,40.7536111,-86.0688889,1991,02:00
73398,9/1/1991 01:00,triangle,600.0,Swaying round light at rooftop height between 2 houses and right above--a huge triangular black object--no sound. 500 Lights On Obj,32.4486111,-99.7327778,1991,01:00
53275,6/3/1991 22:00,disk,600,saw what we thought was a helicopter in trouble. disk was approx 35feet above ground and sitting motionless making no noise approx 40 f,41.8388889,-89.4794444,1991,22:00
19237,12/20/1991 20:00,disk,120,saucer shaped soundless object hovering with rectangular lights going around; as soon as on would go off&#44 the other would come on&#44,32.8405556,-83.6325,1991,20:00
73406,9/1/1991 19:00,circle,30.0,The object was absolutely solid as I observed it&#44 but appeared to fly thru the windows.,42.3583333,-71.0602778,1991,19:00
47492,6/1/1991 02:00,disk,25200,Loss of hours while driving to Yuma&#44 Az,32.7252778,-114.6236111,1991,02:00
77950,9/27/1991 01:00,triangle,480.0,Giant V-Shaped Craft,29.8830556,-97.9411111,1991,01:00
47497,6/1/1991 13:00,disk,1200,A disk shape object was spotted by my Dad while he was relax ing the back yard. He called to me sveral times .I thought he was pulling,40.7944444,-73.8188889,1991,13:00
47500,6/1/1991 18:00,circle,600,Three intensely bright red cirlcles in a triangular formation travelling in tanden as seemingly high speed,39.3641667,-74.4233333,1991,18:00
47502,6/1/1991 18:00,circle,300,A  silver circle shaped disk with a dome on top and a shield that opened and closed in a cloud on a sunny day in Warrenton Virginia,38.7133333,-77.7955556,1991,18:00
